GOIATUBA;75600000;ITUMBIARA;2050
IPIRANGA DE GOIAS;76304000;CERES;1
ITARUMA;75810000;RIO VERDE;149
ITAUCU;75450000;METROPOLITANA;1296
JESUPOLIS;75495000;ANAPOLIS;11
MARZAGAO;75670000;CATALAO;423
MINACU;76450000;PORANGATU;1654
MONTIVIDIU;75915000;RIO VERDE;83
MONTIVIDIU DO NORTE;76465000;PORANGATU;10
MUTUNOPOLIS;76540000;PORANGATU;200
NOVA AURORA;75750000;CATALAO;399
ORIZONA;75280000;ANAPOLIS;2272
PADRE BERNARDO;73700000;GOIANESIA;116
PALMINOPOLIS;75990000;SAO LUIS;368
PARANAIGUARA;75880000;RIO VERDE;236
PIRES DO RIO;75200000;CATALAO;3837
PORTELANDIA;75835000;JATAI;96
RUBIATABA;76350000;CERES;2230
SANTA HELENA DE GOIAS;75920000;RIO VERDE;1754
SAO JOAO D ALIANCA;73760000;FORMOSA;79
SAO MIGUEL DO ARAGUAIA;76590000;PORANGATU;1261
VALPARAISO DE GOIAS;NULL;LUZIANIA;70
VILA BOA;73825000;FORMOSA;1
VILA PROPICIO;76393000;GOIANESIA;2
APARECIDA DE GOIANIA;NULL;METROPOLITANA;3094
APORE;75825000;JATAI;66
ARAGOIANIA;75360000;METROPOLITANA;180
ARAGUAPAZ;76720000;GOIAS;131
AVELINOPOLIS;75395000;METROPOLITANA;148
BRITANIA;76280000;GOIAS;126
BURITI DE GOIAS;76152000;GOIAS;85
CACHOEIRA DOURADA;75560000;ITUMBIARA;45
CACU;75813000;RIO VERDE;281
CALDAS NOVAS;75690000;MORRINHOS;2599
CAMPO ALEGRE DE GOIAS;75795000;CATALAO;208
CAVALCANTE;73790000;POSSE;241
CRISTIANOPOLIS;75230000;METROPOLITANA;278
CRIXAS;76510000;CERES;1602
CUMARI;75760000;CATALAO;697
DAVINOPOLIS;75730000;CATALAO;97
DIVINOPOLIS DE GOIAS;73865000;POSSE;161
DOVERLANDIA;75855000;JATAI;45
ESTRELA DO NORTE;76485000;URUACU;187
GOIANIA;NULL;METROPOLITANA;138602
GUARAITA;76690000;GOIAS;9
ITAPIRAPUA;76290000;GOIAS;430
JANDAIA;75950000;SAO LUIS;947
JOVIANIA;75610000;MORRINHOS;396
MATRINCHA;76730000;GOIAS;52
MOIPORA;76135000;IPORA;285
MONTE ALEGRE DE GOIAS;73830000;POSSE;323
NOVA GLORIA;76305000;CERES;114
PETROLINA DE GOIAS;75480000;ANAPOLIS;1133
PIRANHAS;76230000;IPORA;1104
PROFESSOR JAMIL;75645000;METROPOLITANA;15
SANTA CRUZ DE GOIAS;75220000;CATALAO;437
SANTA FE DE GOIAS;76265000;GOIAS;98
SANTA RITA DO NOVO DESTINO;76395000;GOIANESIA;17
SANTO ANTONIO DA BARRA;75935000;RIO VERDE;43
SAO FRANCISCO DE GOIAS;75490000;ANAPOLIS;401
SAO SIMAO;75890000;RIO VERDE;155
SERRANOPOLIS;75820000;JATAI;220
TAQUARAL DE GOIAS;76640000;GOIAS;659
TERESINA DE GOIAS;73795000;POSSE;8
URUACU;76400000;URUACU;2895
